Sr.,TIN Number,Hardware Version,mac address,image metadata,ledCommands
31,EN0010000031,F52H,FF:19:9B:24:12:E7,EN0010000031 V2.1-080529 2.66 BWRY F52H,"[+]led,FF:19:9B:24:12:E7"
32,EN0010000032,F52H,D9:0C:E8:63:DC:60,EN0010000032 V2.1-080529 2.66 BWRY F52H,"[+]led,D9:0C:E8:63:DC:60"
33,EN0010000033,F52H,D5:17:EE:36:FB:46,EN0010000033 V2.1-080529 2.66 BWRY F52H,"[+]led,D5:17:EE:36:FB:46"
34,EN0010000034,F52H,EC:98:6B:82:05:A2,EN0010000034 V2.1-080529 2.66 BWRY F52H,"[+]led,EC:98:6B:82:05:A2"
35,EN0010000035,F52H,F9:7A:FD:C2:EE:45,EN0010000035 V2.1-080529 2.66 BWRY F52H,"[+]led,F9:7A:FD:C2:EE:45"
36,EN0010000036,F52H,C9:28:EF:5A:0D:4A,EN0010000036 V2.1-080529 2.66 BWRY F52H,"[+]led,C9:28:EF:5A:0D:4A"
37,EN0010000037,F52H,F1:77:73:BD:56:46,EN0010000037 V2.1-080529 2.66 BWRY F52H,"[+]led,F1:77:73:BD:56:46"
38,EN0010000038,F52H,E6:A8:EC:44:8D:AB,EN0010000038 V2.1-080529 2.66 BWRY F52H,"[+]led,E6:A8:EC:44:8D:AB"
39,EN0010000039,F52H,C7:60:F4:AE:D4:1B,EN0010000039 V2.1-080529 2.66 BWRY F52H,"[+]led,C7:60:F4:AE:D4:1B"
40,EN0010000040,F52H,C9:BE:D5:92:07:18,EN0010000040 V2.1-080529 2.66 BWRY F52H,"[+]led,C9:BE:D5:92:07:18"
41,EN0010000041,F52H,F3:14:EE:07:82:23,EN0010000041 V2.1-080529 2.66 BWRY F52H,"[+]led,F3:14:EE:07:82:23"
42,EN0010000042,F52H,D7:BC:4D:4C:6D:EC,EN0010000042 V2.1-080529 2.66 BWRY F52H,"[+]led,D7:BC:4D:4C:6D:EC"
43,EN0010000043,F52H,EB:59:D8:4B:5E:BC,EN0010000043 V2.1-080529 2.66 BWRY F52H,"[+]led,EB:59:D8:4B:5E:BC"
44,EN0010000044,F52H,E5:0C:B2:11:EB:A4,EN0010000044 V2.1-080529 2.66 BWRY F52H,"[+]led,E5:0C:B2:11:EB:A4"
45,EN0010000045,F52H,F0:D1:AC:65:8E:CC,EN0010000045 V2.1-080529 2.66 BWRY F52H,"[+]led,F0:D1:AC:65:8E:CC"
46,EN0010000046,F52H,DC:CA:23:11:A5:4B,EN0010000046 V2.1-080529 2.66 BWRY F52H,"[+]led,DC:CA:23:11:A5:4B"
47,EN0010000047,F52H,C6:51:F1:10:A9:83,EN0010000047 V2.1-080529 2.66 BWRY F52H,"[+]led,C6:51:F1:10:A9:83"
48,EN0010000048,F52H,EE:1D:FD:1A:A0:82,EN0010000048 V2.1-080529 2.66 BWRY F52H,"[+]led,EE:1D:FD:1A:A0:82"
49,EN0010000049,F52H,F1:EF:64:9E:8A:73,EN0010000049 V2.1-080529 2.66 BWRY F52H,"[+]led,F1:EF:64:9E:8A:73"
50,EN0010000050,F52H,D5:F4:2C:21:20:BD,EN0010000050 V2.1-080529 2.66 BWRY F52H,"[+]led,D5:F4:2C:21:20:BD"
51,EN0010000051,F52H,C1:02:C5:0C:38:27,EN0010000051 V2.1-080529 2.66 BWRY F52H,"[+]led,C1:02:C5:0C:38:27"
52,EN0010000052,F52H,E1:44:13:B1:55:77,EN0010000052 V2.1-080529 2.66 BWRY F52H,"[+]led,E1:44:13:B1:55:77"
